"timestamp","lifetime","adc"
0.0,668.750,107
15.0,2193.750,351
47.0,3925.000,628
53.0,1150.000,184
84.0,4281.250,685
118.0,156.250,25
133.0,3587.500,574
212.0,1350.000,216
240.0,518.750,83
250.0,4700.000,752
258.0,993.750,159
300.0,1143.750,183
348.0,5743.750,919
353.0,8787.500,1406
391.0,425.000,68
395.0,17606.250,2817
414.0,4075.000,652
426.0,581.250,93
444.0,15718.750,2515
453.0,1006.250,161
457.0,118.750,19
463.0,1025.000,164
512.0,112.500,18
545.0,2075.000,332
567.0,7906.250,1265
582.0,3475.000,556
623.0,11575.000,1852
678.0,4981.250,797
687.0,4031.250,645
716.0,343.750,55
748.0,1050.000,168
769.0,6162.500,986
783.0,6587.500,1054
793.0,6062.500,970
944.0,3143.750,503
945.0,19806.250,3169
946.0,287.500,46
1075.0,1456.250,233
1083.0,6487.500,1038
1096.0,1887.500,302
1135.0,600.000,96
1169.0,4812.500,770
1192.0,231.250,37
1213.0,1406.250,225
1257.0,2125.000,340
1284.0,16131.250,2581
1318.0,1412.500,226
1349.0,3475.000,556
1366.0,793.750,127
1404.0,1387.500,222
1416.0,4618.750,739
1439.0,1293.750,207
1445.0,212.500,34
1517.0,987.500,158
1548.0,1481.250,237
1572.0,5450.000,872
1617.0,2925.000,468
1688.0,906.250,145
1749.0,737.500,118
1810.0,20881.250,3341
1839.0,15968.750,2555
1840.0,425.000,68
1859.0,1306.250,209
1880.0,21200.000,3392
1907.0,568.750,91
1910.0,1368.750,219
1926.0,587.500,94
1955.0,5612.500,898
1958.0,3475.000,556
1987.0,2175.000,348
1999.0,2368.750,379
2006.0,2650.000,424
2049.0,875.000,140
2128.0,2393.750,383
2131.0,1050.000,168
2139.0,2281.250,365
2236.0,575.000,92
2268.0,5181.250,829
2303.0,3806.250,609
2325.0,1343.750,215
2333.0,9731.250,1557
2354.0,2312.500,370
2368.0,2943.750,471
2438.0,656.250,105
2614.0,1187.500,190
2615.0,256.250,41
2631.0,506.250,81
2638.0,750.000,120
2708.0,6568.750,1051
2717.0,2562.500,410
2726.0,11775.000,1884
2743.0,3075.000,492
2750.0,2587.500,414
2758.0,2287.500,366
2796.0,17018.750,2723
2847.0,731.250,117
2878.0,4275.000,684
2888.0,681.250,109
2906.0,1506.250,241
2930.0,3018.750,483
2939.0,9868.750,1579
2986.0,518.750,83
3037.0,2718.750,435
3152.0,2981.250,477
3179.0,962.500,154
3190.0,25518.750,4083
3210.0,106.250,17
3230.0,268.750,43
3262.0,10575.000,1692
3295.0,13993.750,2239
3341.0,2481.250,397
3361.0,3068.750,491
3373.0,943.750,151
3375.0,20243.750,3239
3393.0,2131.250,341
3481.0,668.750,107
3486.0,2031.250,325
3496.0,14737.500,2358
3526.0,2681.250,429
3549.0,943.750,151
3555.0,1062.500,170
3574.0,1525.000,244
3576.0,19468.750,3115
3589.0,306.250,49
3631.0,1506.250,241
3635.0,650.000,104
3659.0,10143.750,1623
3659.0,5293.750,847
3693.0,9025.000,1444
3731.0,368.750,59
3731.0,262.500,42
3763.0,24837.500,3974
3774.0,1437.500,230
3782.0,23137.500,3702
3860.0,1168.750,187
3954.0,6943.750,1111
3966.0,2743.750,439
3985.0,5681.250,909
4030.0,1075.000,172
4106.0,3400.000,544
4135.0,1475.000,236
4166.0,812.500,130
4196.0,1218.750,195
4277.0,3950.000,632
4351.0,2643.750,423
4351.0,981.250,157
4383.0,900.000,144
4400.0,431.250,69
4408.0,1112.500,178
4418.0,181.250,29
4502.0,11456.250,1833
4508.0,1856.250,297
4511.0,2256.250,361
4513.0,2900.000,464
4521.0,1106.250,177
4529.0,1643.750,263
4568.0,625.000,100
4583.0,93.750,15
4605.0,6650.000,1064
4627.0,100.000,16
4637.0,3681.250,589
4645.0,3012.500,482
4653.0,1231.250,197
4694.0,3856.250,617
4708.0,293.750,47
4758.0,2062.500,330
4788.0,2393.750,383
4816.0,1150.000,184
4830.0,1050.000,168
4854.0,831.250,133
4866.0,550.000,88
4927.0,6162.500,986
4949.0,156.250,25
4973.0,8337.500,1334
4980.0,268.750,43
4991.0,581.250,93
5002.0,9250.000,1480
5003.0,512.500,82
5003.0,2037.500,326
5016.0,13587.500,2174
5060.0,381.250,61
5065.0,1950.000,312
5179.0,3868.750,619
5212.0,2568.750,411
5218.0,1200.000,192
5248.0,331.250,53
5274.0,143.750,23
5344.0,3593.750,575
5363.0,2993.750,479
5369.0,687.500,110
5374.0,2643.750,423
5374.0,412.500,66
5386.0,1012.500,162
5424.0,500.000,80
5427.0,2818.750,451
5458.0,6256.250,1001
5481.0,25287.500,4046
5522.0,5362.500,858
5538.0,2606.250,417
5572.0,11306.250,1809
5578.0,7918.750,1267
5587.0,1075.000,172
5635.0,1693.750,271
5651.0,5650.000,904
5684.0,10987.500,1758
5701.0,1568.750,251
5789.0,2512.500,402
5803.0,1206.250,193
5853.0,3950.000,632
5883.0,600.000,96
5920.0,1612.500,258
5950.0,13125.000,2100
5978.0,668.750,107
6005.0,3256.250,521
6036.0,7450.000,1192
6046.0,1637.500,262
6058.0,19556.250,3129
6079.0,3312.500,530
6096.0,2500.000,400
6099.0,2031.250,325
6133.0,2387.500,382
6134.0,550.000,88
6243.0,325.000,52
6255.0,6100.000,976
6280.0,462.500,74
6286.0,2350.000,376
6366.0,3606.250,577
6438.0,5687.500,910
6444.0,1025.000,164
6497.0,987.500,158
6499.0,1606.250,257
6510.0,3293.750,527
6521.0,22493.750,3599
6582.0,25331.250,4053
6639.0,331.250,53
6660.0,787.500,126
6676.0,1256.250,201
6690.0,1668.750,267
6691.0,150.000,24
6694.0,17237.500,2758
6697.0,118.750,19
6747.0,2162.500,346
6805.0,87.500,14
6820.0,5762.500,922
6821.0,5312.500,850
6848.0,100.000,16
6864.0,1031.250,165
6876.0,11918.750,1907
6888.0,2168.750,347
6897.0,2687.500,430
6898.0,2250.000,360
6945.0,1968.750,315
6949.0,5925.000,948
6956.0,1400.000,224
6974.0,2881.250,461
6991.0,1031.250,165
7002.0,1250.000,200
7084.0,1406.250,225
7100.0,25231.250,4037
7115.0,462.500,74
7123.0,4706.250,753
7124.0,1137.500,182
7136.0,3175.000,508
7150.0,3825.000,612
7170.0,2375.000,380
7194.0,1262.500,202
7228.0,3756.250,601
7259.0,1837.500,294
7265.0,3562.500,570
7302.0,2831.250,453
7341.0,643.750,103
7375.0,2212.500,354
7410.0,1906.250,305
7410.0,9000.000,1440
7432.0,4306.250,689
7464.0,625.000,100
7474.0,100.000,16
7493.0,22287.500,3566
7504.0,3437.500,550
7523.0,1200.000,192
7547.0,9500.000,1520
7564.0,518.750,83
7577.0,8293.750,1327
7601.0,1162.500,186
7635.0,3456.250,553
7657.0,1500.000,240
7709.0,1443.750,231
7745.0,1687.500,270
7747.0,437.500,70
7790.0,237.500,38
7811.0,12300.000,1968
7814.0,212.500,34
7821.0,1568.750,251
7878.0,818.750,131
7881.0,2100.000,336
7907.0,2256.250,361
7924.0,162.500,26
7948.0,2118.750,339
7971.0,556.250,89
7981.0,1643.750,263
7982.0,1425.000,228
7985.0,2031.250,325
8038.0,612.500,98
8086.0,15256.250,2441
8130.0,2456.250,393
8133.0,4212.500,674
8151.0,606.250,97
8189.0,3012.500,482
8214.0,562.500,90
8278.0,300.000,48
8295.0,2781.250,445
8354.0,5068.750,811
8425.0,6125.000,980
8432.0,1862.500,298
8441.0,106.250,17
8452.0,2918.750,467
8472.0,762.500,122
8482.0,13825.000,2212
8538.0,1737.500,278
8571.0,1100.000,176
8632.0,16556.250,2649
8665.0,3550.000,568
8701.0,681.250,109
8718.0,7837.500,1254
8733.0,825.000,132
8751.0,11787.500,1886
8773.0,862.500,138
8920.0,112.500,18
8944.0,7068.750,1131
8973.0,1031.250,165
9037.0,1237.500,198
9051.0,4243.750,679
9092.0,200.000,32
9113.0,20593.750,3295
9151.0,3456.250,553
9194.0,1118.750,179
9206.0,1600.000,256
